组ID,视频类型,文件名,视频ID,视频链接,哈希值
组100,重复视频,7406252830396353801.mp4,7406252830396353801,https://douyin.com/?modal_id=7406252830396353801,53090440c1702bfbeb99833be034a2db25150c5b44796a117e0bbc41878bce95
组100,重复视频,7405115038559702310.mp4,7405115038559702310,https://douyin.com/?modal_id=7405115038559702310,add8a3681ff569bc4924e932dc2d2e071527252294c5eaea990ae5f936f2ce14
组100,重复视频,7404745042159537446.mp4,7404745042159537446,https://douyin.com/?modal_id=7404745042159537446,2fc5a82919f9314b0670a568c5018d642012eda5d4ff35519f026ae26638ae7f
组100,重复视频,7404330699861396745.mp4,7404330699861396745,https://douyin.com/?modal_id=7404330699861396745,a92753f5290d79e62cea14b515c381c99beb81246164e974064f146c35bb519b
组101,原视频,7414347369497496884.mp4,7414347369497496884,https://douyin.com/?modal_id=7414347369497496884,154fc2548e8aa3120699fadb3af881da62ed6ae3bd40e04c4ce28a750a34d5c1
组101,重复视频,7413975975135857972.mp4,7413975975135857972,https://douyin.com/?modal_id=7413975975135857972,ba7797c2c5bffc36172f91f1d8e2c8f9a81c16ef67ca543e1c49509470ac59c1
组102,原视频,7411749053865659648.mp4,7411749053865659648,https://douyin.com/?modal_id=7411749053865659648,5a90b1ab5cc1fa13248d4057180b8c73a14d4cf4cfde2eecc3418875c105fbd8
组102,重复视频,7409520156902182184.mp4,7409520156902182184,https://douyin.com/?modal_id=7409520156902182184,6f424028e8086cdbf25474a3bab676eec275b0621437b82453e506afc434095a
组102,重复视频,7409152656394013952.mp4,7409152656394013952,https://douyin.com/?modal_id=7409152656394013952,f1654bf349585993f6d0952d8f0c8b4a5b6e7521f90a5cab43633a93fd4d2bc7
组102,重复视频,7404039348544474418.mp4,7404039348544474418,https://douyin.com/?modal_id=7404039348544474418,00c3590f35cc843f4576840c7cc359772f049512b2ef48bad9a2e5fd19f50b57
组103,原视频,7402550063496531227.mp4,7402550063496531227,https://douyin.com/?modal_id=7402550063496531227,f580ad02164217d84687641734a3144386c7f49a517f4ac3b1520944da05bd93
组103,重复视频,7402179596356996403.mp4,7402179596356996403,https://douyin.com/?modal_id=7402179596356996403,980fd458c6f3d9968142fe013a24ec8d33b218e2e3eb29ca530369770737e8d3
组103,重复视频,7401364965430463782.mp4,7401364965430463782,https://douyin.com/?modal_id=7401364965430463782,344109138e9e90b0c7ab20de0435ce8bbace87060a61423c698e7855091ff9c7
组103,重复视频,7399880187740998949.mp4,7399880187740998949,https://douyin.com/?modal_id=7399880187740998949,b8b2b54d07bd0aa14bd410df1e2393fb43e3264afe8bba782f8e5234198ec789
组103,重复视频,7398766150009556233.mp4,7398766150009556233,https://douyin.com/?modal_id=7398766150009556233,f2c32d160a62d73f9f76274195c8b4973bd9a407c24cafd702b4453d18bb267d
组104,原视频,7414844142678756643.mp4,7414844142678756643,https://douyin.com/?modal_id=7414844142678756643,7ef20e530b8931a14a5198c0acb7bfe11aa36532fc522f48c8c324b67f2f1817
组104,重复视频,7413236487942130959.mp4,7413236487942130959,https://douyin.com/?modal_id=7413236487942130959,e6533ba9be1f9aee6485ef023d0db4ef912826913e01b987940e7fa2e4b79180
组104,重复视频,7410635260410465551.mp4,7410635260410465551,https://douyin.com/?modal_id=7410635260410465551,cdd56b3597364ed30449df0339598d3ab8bc03a686d0420b7850ddb65d45a59f
组104,重复视频,7410017638514019599.mp4,7410017638514019599,https://douyin.com/?modal_id=7410017638514019599,62cd60571ca0dd099033049ee5d871a492c08d762f5dade372da61c707df4c2f
组104,重复视频,7408810049230867752.mp4,7408810049230867752,https://douyin.com/?modal_id=7408810049230867752,5f2f7e1196a27651cc0da34ca52676975fbd4cb53d0fad21182da417c4f008f0
组104,重复视频,7408039475277761843.mp4,7408039475277761843,https://douyin.com/?modal_id=7408039475277761843,a70685e581baa4e3af9aa15b3d8269f94abefa53fb447a4298a599d9e84f034e
组104,重复视频,7407418703572126985.mp4,7407418703572126985,https://douyin.com/?modal_id=7407418703572126985,15b191ea451f1b9f76b4ab06edb2dba632fcec40b29a5f0f8366842903f1d9af
组104,重复视频,7405814763294444809.mp4,7405814763294444809,https://douyin.com/?modal_id=7405814763294444809,e34a1ad2d83d928a3e72cb832ae797ca2dceaa644d60cbc2c0612c20f5695bdd
组104,重复视频,7404699210701917491.mp4,7404699210701917491,https://douyin.com/?modal_id=7404699210701917491,2a085f23c511501b2301789b1742ea6779d793f59860b00dd1ba5d6ca82ff833
组104,重复视频,7402841253215358234.mp4,7402841253215358234,https://douyin.com/?modal_id=7402841253215358234,e9e21cfa655bbba9675c8284aa5e512cd37e5c5304793e3e5b949211aca27eaf
组104,重复视频,7402470252669455653.mp4,7402470252669455653,https://douyin.com/?modal_id=7402470252669455653,62491dc85be3c5193be551ce1918b500d979958ca499c61d8ed2fe7d508ed511
组104,重复视频,7399505131055746314.mp4,7399505131055746314,https://douyin.com/?modal_id=7399505131055746314,d7f4cf5ed36482bd83ed0460048ea06efb0e95ab4bad012b8e391720df8dd80f
组105,原视频,7411131226515328291.mp4,7411131226515328291,https://douyin.com/?modal_id=7411131226515328291,a32698f84baf7f7508f3f96e62c43d546804d33eeead632f4ab7fe0cf17d7aa1
组105,重复视频,7409931171888483619.mp4,7409931171888483619,https://douyin.com/?modal_id=7409931171888483619,28d45daa6b1cd07613306dfb3063afddebc33876c8ac3575aa38e9b837339e4e
组105,重复视频,7408533728303123747.mp4,7408533728303123747,https://douyin.com/?modal_id=7408533728303123747,9faf4700c19c364982bc961eeb2500a594567e14389935c2cd84d728d8706ee0
组105,重复视频,7406181307925024027.mp4,7406181307925024027,https://douyin.com/?modal_id=7406181307925024027,591d106c28bf9adc348e255ce39e1fe50a2966e51b6514642a04bcb81c02eda7
组105,重复视频,7405935528119389490.mp4,7405935528119389490,https://douyin.com/?modal_id=7405935528119389490,e97a93f1d2bcf0ecfc79bef0924965baa978455d3439c03257879c99f09e4997
组105,重复视频,7401853893946264841.mp4,7401853893946264841,https://douyin.com/?modal_id=7401853893946264841,84bef438e96118ab25ad31b8a815f4faa0d32f51f33e17d8359fbc422930bea0
组105,重复视频,7401728340077448475.mp4,7401728340077448475,https://douyin.com/?modal_id=7401728340077448475,5af81b2bcfe8193214d576f9536c9074eedb4e5eb3e824cdd34e7fdfbb20c078
组105,重复视频,7400618518615444745.mp4,7400618518615444745,https://douyin.com/?modal_id=7400618518615444745,60dc01dcc834110eb98544d8aba528357f707daa8f191b156247c3ae6ac48c31
组105,重复视频,7399955043996159269.mp4,7399955043996159269,https://douyin.com/?modal_id=7399955043996159269,09fdce3d1bf009019043a6ef8977434dc7ed2bf34cc97bc7fe4114e854f7879d
组105,重复视频,7399214563872296242.mp4,7399214563872296242,https://douyin.com/?modal_id=7399214563872296242,69a376bc267db45c00a121488e9ce9a574c5d02a896e3e26d61c5f2959fc10df
组105,重复视频,7399138183654411570.mp4,7399138183654411570,https://douyin.com/?modal_id=7399138183654411570,91c942316c31f5710cdbaca0aecedb48183c884b91c3a5bf73e8fe32adeea9bb
组105,重复视频,7398842979537947931.mp4,7398842979537947931,https://douyin.com/?modal_id=7398842979537947931,78507a0fb1a333b6c3f08a55345f7b8d4f910793e6123a4abae66023ca6f0688
组105,重复视频,7398433109114375474.mp4,7398433109114375474,https://douyin.com/?modal_id=7398433109114375474,be6254e75a69ff0d0d1edeaea2ac489a7cc2711d140f89913cac20762d1ce793
组106,原视频,7403953936132017434.mp4,7403953936132017434,https://douyin.com/?modal_id=7403953936132017434,19613949a74f71fa8a40a753b861949d91b497eff343aee32faae0d8c96995b8
组106,重复视频,7400737163635166515.mp4,7400737163635166515,https://douyin.com/?modal_id=7400737163635166515,99933f08d35246035da7de695719d77000a1cfbb4de7175ae64fbbf97ab68f19
组107,原视频,7401483721603419419.mp4,7401483721603419419,https://douyin.com/?modal_id=7401483721603419419,05a7bd7a364ce24dcc28be0c5dd4295d37311a180f01fe183c8701396dbd602f
组107,重复视频,7399914934278081802.mp4,7399914934278081802,https://douyin.com/?modal_id=7399914934278081802,662ac5e7e1ba53797085d353fce3c275e0f53d9e5c07f92081a3cea7d979f11b
组108,原视频,7402922703390346534.mp4,7402922703390346534,https://douyin.com/?modal_id=7402922703390346534,b3224c8cc6944a8d293f892286def7ce00966fc0c4ff0b6177b6dd1b4e82007c
组108,重复视频,7398886391364586779.mp4,7398886391364586779,https://douyin.com/?modal_id=7398886391364586779,8bdaf29d7bbda71e729fed0310344df778c88d052812224a427910daf0910fb0
